Customer Number,Total_Final_Bookings,Loaded_Bookings,NoShow_Count,Reserved_Meter,Loaded_Meter,NoShow_Rate,Booking_Reliability_Score,Unused_Meter,Meter_Utilization_Rate,Risk_Category,Deferral_Candidate_Score
C00752,42,6,36,633.0,91.0,0.8571428571428571,0.1428571428571428,542.0,0.1437598736176935,High Risk,0.856962310990747
C00542,40,6,34,580.7,80.4,0.85,0.15,500.30000000000007,0.1384535904942311,High Risk,0.8523092819011537
C01130,33,6,27,459.9,85.1,0.8181818181818182,0.1818181818181818,374.8,0.1850402261361165,High Risk,0.8175374093182313
C00077,41,8,33,580.7,102.3,0.8048780487804879,0.1951219512195122,478.4,0.1761666953676597,High Risk,0.8086690999508583
C00087,44,9,35,656.6,109.5,0.7954545454545454,0.2045454545454545,547.1,0.1667681998172403,High Risk,0.8030099964001883
C00548,35,7,28,484.9,90.4,0.8,0.2,394.5,0.1864301917921221,High Risk,0.8027139616415756
C00878,45,9,36,615.2,117.0,0.8,0.2,498.2000000000001,0.1901820546163849,High Risk,0.801963589076723
C01152,40,8,32,566.4,108.1,0.8,0.2,458.3,0.1908545197740113,High Risk,0.8018290960451978
C00630,32,7,25,446.6,76.2,0.78125,0.21875,370.4,0.1706224809673085,High Risk,0.7908755038065383
C01026,38,8,30,555.9,117.6,0.7894736842105263,0.2105263157894736,438.3,0.211548839719374,High Risk,0.7892691794245462
C00021,45,10,35,641.8,134.7,0.7777777777777778,0.2222222222222222,507.1,0.209878466812091,High Risk,0.7802465288598041
C00916,36,8,28,489.1,102.9,0.7777777777777778,0.2222222222222222,386.2000000000001,0.2103864240441627,High Risk,0.7801449374133897
C01017,52,12,40,758.6,147.6,0.7692307692307693,0.2307692307692307,611.0,0.1945689427893487,High Risk,0.7764708268267457
C01108,40,9,31,619.3,136.1,0.775,0.225,483.19999999999993,0.2197642499596318,High Risk,0.7760471500080737
C00393,36,8,28,523.0,129.8,0.7777777777777778,0.2222222222222222,393.2,0.2481835564053537,High Risk,0.7725855109411515
C00914,43,10,33,585.7,127.4,0.7674418604651163,0.2325581395348837,458.30000000000007,0.2175175004268396,High Risk,0.7704499882867252
C00093,43,10,33,585.7,132.6,0.7674418604651163,0.2325581395348837,453.1,0.2263957657503841,High Risk,0.7686743352220162
C00128,51,12,39,701.2,154.2,0.7647058823529411,0.2352941176470588,547.0,0.219908727895037,High Risk,0.7677829603033455
C00051,34,8,26,476.5,111.4,0.7647058823529411,0.2352941176470588,365.1,0.2337880377754459,High Risk,0.7650070983272637
C00638,39,10,29,538.5,111.6,0.7435897435897436,0.2564102564102564,426.9,0.2072423398328691,High Risk,0.7534233269052211
C00467,40,10,30,582.1,152.7,0.75,0.25,429.4,0.262326060814293,High Risk,0.7475347878371414
C00949,39,10,29,563.8,135.0,0.7435897435897436,0.2564102564102564,428.8,0.239446612273856,High Risk,0.7469824724170236
C00375,35,9,26,505.6,122.5,0.7428571428571429,0.2571428571428571,383.1,0.2422863924050632,High Risk,0.7458284358047016
C00058,31,8,23,421.5,106.2,0.7419354838709677,0.2580645161290322,315.3,0.2519572953736655,High Risk,0.743156928022041
C00002,46,12,34,623.1,150.1,0.7391304347826086,0.2608695652173913,473.0,0.2408923126303964,High Risk,0.7431258853000076
C00648,35,9,26,495.2,127.5,0.7428571428571429,0.2571428571428571,367.7,0.2574717285945073,High Risk,0.7427913685668128
C01145,53,14,39,757.5,178.2,0.7358490566037735,0.2641509433962264,579.3,0.2352475247524752,High Risk,0.7416297403325238
C00468,50,13,37,720.4,182.3,0.74,0.26,538.0999999999999,0.2530538589672404,High Risk,0.741389228206552
C00240,38,10,28,544.6,134.6,0.7368421052631579,0.2631578947368421,410.0,0.2471538744032317,High Risk,0.74004290932988
C00357,37,10,27,482.5,110.0,0.7297297297297297,0.2702702702702703,372.5,0.2279792746113989,High Risk,0.7381879288615041
C00050,42,11,31,553.7,146.7,0.7380952380952381,0.2619047619047619,407.00000000000006,0.2649449160195051,High Risk,0.7374872072722894
C00143,44,12,32,669.5,161.9,0.7272727272727273,0.2727272727272727,507.6,0.2418222554144884,High Risk,0.7334537307352841
C00052,44,12,32,586.3,147.8,0.7272727272727273,0.2727272727272727,438.5,0.2520893740405936,High Risk,0.7314003070100631
C00629,33,9,24,462.9,125.6,0.7272727272727273,0.2727272727272727,337.29999999999995,0.2713329012745733,High Risk,0.7275516015632671
C00540,47,13,34,646.7,169.6,0.723404255319149,0.2765957446808511,477.1,0.2622545229627338,High Risk,0.7262724996627723
C00921,32,9,23,437.5,116.5,0.71875,0.28125,321.0,0.2662857142857143,High Risk,0.7217428571428571
C00090,36,10,26,499.1,150.4,0.7222222222222222,0.2777777777777778,348.69999999999993,0.301342416349429,High Risk,0.7175092945078919
C00907,46,13,33,634.0,182.4,0.717391304347826,0.2826086956521739,451.6,0.2876971608832807,High Risk,0.7163736113016047
C00437,39,11,28,527.4,159.1,0.717948717948718,0.282051282051282,368.3,0.3016685627607129,High Risk,0.7140252618068317
C00801,38,11,27,550.9,150.7,0.7105263157894737,0.2894736842105263,400.2,0.2735523688509711,High Risk,0.7137105788613847
C00249,35,10,25,494.8,147.9,0.7142857142857143,0.2857142857142857,346.9,0.2989086499595796,High Risk,0.7116468414366555
C00201,34,10,24,484.2,134.6,0.7058823529411765,0.2941176470588235,349.6,0.2779843040066088,High Risk,0.7091090215516194
C01032,44,13,31,645.3,182.0,0.7045454545454546,0.2954545454545454,463.3,0.2820393615372695,High Risk,0.7072284913289099
C00647,40,12,28,581.7,158.3,0.7,0.3,423.4,0.272133402097301,High Risk,0.7055733195805398
C00080,44,13,31,582.4,175.9,0.7045454545454546,0.2954545454545454,406.5,0.3020260989010989,High Risk,0.7032311438561439
C00460,57,17,40,895.8,266.0,0.7017543859649122,0.2982456140350877,629.8,0.2969412815360571,High Risk,0.7020152524647184
C01094,40,12,28,528.4,154.6,0.7,0.3,373.8,0.2925813777441332,High Risk,0.7014837244511734
C00175,39,12,27,511.6,135.2,0.6923076923076923,0.3076923076923077,376.4,0.2642689601250977,High Risk,0.7009923618211343
C00675,38,12,26,496.3,123.6,0.6842105263157895,0.3157894736842105,372.7000000000001,0.2490429175901672,High Risk,0.6975598375345982
C01199,33,10,23,435.4,137.5,0.696969696969697,0.303030303030303,297.9,0.3158015617822692,High Risk,0.6944154452193038
